INFO 2024-07-11 08:44:46,919 asgi  _@@@@@@_ 
DEBUG 2024-07-11 08:44:46,923 asgi <channels.routing.ProtocolTypeRouter object at 0x7f91fd111880>
INFO 2024-07-11 08:48:48,850 asgi  _@@@@@@_ 
INFO 2024-07-11 08:48:52,083 asgi  _@@@@@@_ 
INFO 2024-07-11 08:49:15,768 asgi  _@@@@@@_ 
DEBUG 2024-07-11 08:49:15,768 asgi <channels.routing.ProtocolTypeRouter object at 0x7f7198f8c890>
INFO 2024-07-11 08:51:54,504 asgi  _@@@@@@_ 
DEBUG 2024-07-11 08:51:54,505 asgi <channels.routing.ProtocolTypeRouter object at 0x7f678c925dc0>
INFO 2024-07-11 09:17:00,144 asgi  _@@@@@@_ 
DEBUG 2024-07-11 09:17:00,145 asgi <channels.routing.ProtocolTypeRouter object at 0x7fc2a1989010>
INFO 2024-07-11 09:17:03,598 asgi  _@@@@@@_ 
DEBUG 2024-07-11 09:17:03,599 asgi <channels.routing.ProtocolTypeRouter object at 0x7f8d8fb08b90>
INFO 2024-07-11 09:17:05,783 asgi  _@@@@@@_ 
DEBUG 2024-07-11 09:17:05,784 asgi <channels.routing.ProtocolTypeRouter object at 0x7f84c9b3c620>
INFO 2024-07-11 09:21:45,047 asgi  _@@@@@@_ 
DEBUG 2024-07-11 09:21:45,048 asgi <channels.routing.ProtocolTypeRouter object at 0x7fb9908fa360>
INFO 2024-07-11 11:21:10,712 asgi  _@@@@@@_ 
DEBUG 2024-07-11 11:21:10,712 asgi <channels.routing.ProtocolTypeRouter object at 0x7f9a013bab70>
INFO 2024-07-11 11:47:28,313 asgi  _@@@@@@_ 
DEBUG 2024-07-11 11:47:28,314 asgi <channels.routing.ProtocolTypeRouter object at 0x7f11de0e49b0>
INFO 2024-07-11 11:47:33,729 asgi  _@@@@@@_ 
DEBUG 2024-07-11 11:47:33,730 asgi <channels.routing.ProtocolTypeRouter object at 0x7f1bff7ac290>
INFO 2024-07-11 11:53:28,003 asgi  _@@@@@@_ 
DEBUG 2024-07-11 11:53:28,004 asgi <channels.routing.ProtocolTypeRouter object at 0x7f7a113acad0>
